CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
CUST0000,Male,0,No,Yes,29,No,No phone service,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.48,No,2159.92
CUST0001,Female,1,No,No,16,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,One year,Yes,Electronic check,95.84,Yes,1533.44
CUST0002,Male,0,Yes,No,61,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),95.41,Yes,5820.01
CUST0003,Male,0,Yes,No,12,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,21.79,No,261.48
CUST0004,Male,1,No,Yes,58,No,Yes,No,No,No,No internet service,Yes,Yes,No,Two year,No,Mailed check,32.63,No,1892.54
CUST0005,Female,0,No,Yes,18,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,85.96,Yes,1547.28
CUST0006,Male,1,No,Yes,48,No,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,36.16,No,1735.68
CUST0007,Male,1,No,No,11,No,No phone service,No,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,45.55,No,501.05
CUST0008,Male,1,No,No,60,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,114.66,No,6879.6
CUST0009,Female,0,No,No,18,No,Yes,No,No,No,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,76.02,Yes,1368.36
CUST0010,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),95.07,No,760.56
CUST0011,Male,0,No,No,70,No,No phone service,No,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,75.8,No,5306.0
CUST0012,Male,0,No,No,27,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),75.25,Yes,2031.75
CUST0013,Male,0,Yes,No,51,Yes,No,No,No,Yes,No internet service,No,No,No internet service,One year,Yes,Electronic check,29.42,Yes,1500.42
CUST0014,Female,0,Yes,No,15,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),54.37,No,815.55
CUST0015,Male,0,Yes,Yes,68,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,48.24,No,3280.32
CUST0016,Female,1,Yes,Yes,11,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.07,Yes,649.77
CUST0017,Female,0,No,No,24,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,One year,No,Mailed check,99.83,No,2395.92
CUST0018,Female,1,No,Yes,51,Yes,No,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,57.19,No,2916.69
CUST0019,Male,0,No,Yes,52,Yes,No,DSL,No internet service,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),65.17,No,3388.84
CUST0020,Female,0,No,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Two year,No,Electronic check,59.74,No,1314.28
CUST0021,Male,0,No,No,15,No,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,One year,Yes,Electronic check,29.34,No,440.1
CUST0022,Female,1,No,Yes,56,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),64.11,No,3590.16
CUST0023,Female,1,Yes,No,38,Yes,No phone service,No,Yes,No internet service,Yes,Yes,Yes,No,Two year,Yes,Electronic check,39.56,No,1503.28
CUST0024,Female,1,No,Yes,52,No,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),38.67,No,2010.84
CUST0025,Female,1,Yes,No,41,No,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,29.4,No,1205.4
CUST0026,Female,0,Yes,Yes,57,No,No,No,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,55.67,No,3173.19
CUST0027,Female,1,No,No,38,No,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,95.75,Yes,3638.5
CUST0028,Female,0,Yes,Yes,13,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),47.64,No,619.32
CUST0029,Female,0,No,Yes,4,No,No,No,Yes,No,No internet service,Yes,No,No internet service,One year,No,Electronic check,51.23,No,204.92
